country,ISO3C,imfcode,year,flow,USD,EUR,Home,Other,Unclassified,Other_Excl_USDEUR
Albania,ALB,914,2010,Export,23.060533740619316,75.26586139407502,0.0,1.6736048653056628,0.0,1.6736048460006714
Albania,ALB,914,2010,Import,23.99282494746241,74.33001646424864,0.0,1.6771585882889468,0.0,1.6771585941314697
Albania,ALB,914,2011,Export,27.848474509620335,69.763814609361,0.0,2.3877108810186627,0.0,2.3877108097076416
Albania,ALB,914,2011,Import,26.581113892693477,71.37132667969568,0.0,2.0475594276108353,0.0,2.0475594997406006
Albania,ALB,914,2012,Export,28.613206751906002,68.09495386237738,0.0,3.2918393857166137,0.0,3.291839361190796
Albania,ALB,914,2012,Import,22.297581542097955,75.65865941563554,0.0,2.043759042266501,0.0,2.0437591075897217
Albania,ALB,914,2013,Export,39.25794904506901,59.644601725147226,0.0,1.0974492297837628,0.0,1.0974491834640503
Albania,ALB,914,2013,Import,20.90906132522129,77.90956647467391,0.0,1.1813722001048035,0.0,1.1813721656799316
Albania,ALB,914,2014,Export,35.391719610066,63.843115120444196,0.0,0.7651652694898132,0.0,0.7651652693748474
Albania,ALB,914,2014,Import,25.882379583896704,72.22424980715357,0.0,1.8933706089497235,0.0,1.8933706283569336
Albania,ALB,914,2015,Export,26.60135499245355,72.27034001962585,0.0,1.1283049879206004,0.0,1.1283049583435059
Albania,ALB,914,2015,Import,22.592878181318497,76.01128485767696,0.0,1.395836961004548,0.0,1.3958369493484497
Albania,ALB,914,2016,Export,18.437188884589514,80.70324299255682,0.0,0.8595681228536591,0.0,0.8595681190490723
Albania,ALB,914,2016,Import,19.04808462996392,79.93586426847212,0.0,1.01605110156396,0.0,1.0160510540008545
Albania,ALB,914,2017,Export,17.218137819063465,82.32963789654532,0.0,0.45222428439120677,0.0,0.4522242844104767
Albania,ALB,914,2017,Import,17.680848077645454,80.70004451032692,0.0,1.6191074120276312,0.0,1.6191073656082153
Albania,ALB,914,2018,Export,17.89996820512355,81.44784382544155,0.0,0.6521879694348911,0.0,0.6521879434585571
