observation_date,IRLTLT01GBA156N
1960-01-01,5.85583333333332945
1961-01-01,6.26416666666667066
1962-01-01,5.76416666666667066
1963-01-01,5.16583333333332995
1964-01-01,5.70249999999999968
1965-01-01,6.55166666666666853
1966-01-01,6.86666666666667069
1967-01-01,6.70000000000000018
1968-01-01,7.50916666666667076
1969-01-01,8.83000000000000007
1970-01-01,8.63416666666665833
1971-01-01,7.86833333333333140
1972-01-01,8.37500000000000000
1973-01-01,10.55833333333329982
1974-01-01,14.20666666666670075
1975-01-01,13.18166666666670039
1976-01-01,13.60999999999999943
1977-01-01,12.02749999999999986
1978-01-01,12.06499999999999950
1979-01-01,12.94583333333330089
1980-01-01,13.91333333333330202
1981-01-01,14.88333333333330089
1982-01-01,13.08500000000000085
1983-01-01,11.26833333333330067
1984-01-01,11.12749999999999950
1985-01-01,10.97000000000000064
1986-01-01,10.13499999999999979
1987-01-01,9.57083333333332931
1988-01-01,9.67583333333332973
1989-01-01,10.19083333333330010
1990-01-01,11.80250000000000021
1991-01-01,10.10500000000000043
1992-01-01,9.06333333333332902
1993-01-01,7.47960833333333142
1994-01-01,8.12209999999999965
1995-01-01,8.20028333333332959
1996-01-01,7.81018333333332926
1997-01-01,7.05259166666667081
1998-01-01,5.55095833333332944
1999-01-01,5.09352499999999964
2000-01-01,5.32897499999999980
2001-01-01,4.92949999999999999
2002-01-01,4.89424166666666949
2003-01-01,4.52659166666667012
2004-01-01,4.88226666666667075
2005-01-01,4.41389166666667077
2006-01-01,4.50167499999999965
2007-01-01,5.01127500000000037
2008-01-01,4.59072499999999994
2009-01-01,3.64751666666667029
2010-01-01,3.62442500000000001
2011-01-01,3.13599166666667006
2012-01-01,1.91804166666666953
2013-01-01,2.38978333333333026
2014-01-01,2.56908333333333028
2015-01-01,1.90103333333333047
2016-01-01,1.30520833333332997
2017-01-01,1.23580833333333007
2018-01-01,1.46065833333333006
2019-01-01,0.93582500000000002
2020-01-01,0.37444166666666701
2021-01-01,0.78760833333333413
2022-01-01,2.44729166666666975
2023-01-01,4.05830000000000002
2024-01-01,4.14424166666666682
