observation_date,IRLTLT01ESA156N
1980-01-01,15.9608333333332997
1981-01-01,15.8116666666666976
1982-01-01,15.9875000000000007
1983-01-01,16.9091666666666995
1984-01-01,16.5225000000000009
1985-01-01,13.3674999999999997
1986-01-01,11.3541666666666980
1987-01-01,12.8133333333333024
1988-01-01,11.7441666666667004
1989-01-01,13.6005833333333328
1990-01-01,14.6775000000000002
1991-01-01,12.3605509803921603
1992-01-01,11.6951901732399843
1993-01-01,10.2107947102604957
1994-01-01,9.9977911245917799
1995-01-01,11.2709351370851376
1996-01-01,8.7364611851598699
1997-01-01,6.4015346648901561
1998-01-01,4.8329264982697193
1999-01-01,4.7273114383455352
2000-01-01,5.5258660599401459
2001-01-01,5.1152837968053655
2002-01-01,4.9576410120739913
2003-01-01,4.1230435847523950
2004-01-01,4.1041429449777285
2005-01-01,3.3863495349457313
2006-01-01,3.7843100653203057
2007-01-01,4.3066266405522065
2008-01-01,4.3637322460004757
2009-01-01,3.9742982441693830
2010-01-01,4.2500008987802174
2011-01-01,5.4368942255176798
2012-01-01,5.8465372174122159
2013-01-01,4.5619620388669322
2014-01-01,2.7218310821107443
2015-01-01,1.7350872800826185
2016-01-01,1.3933022201831990
2017-01-01,1.5578658308595374
2018-01-01,1.4193522684345907
2019-01-01,0.6610183269025660
2020-01-01,0.3794776366145931
2021-01-01,0.3487502376246941
2022-01-01,2.1985585456146963
2023-01-01,3.4865070001254770
2024-01-01,3.1537955314009665
