"COUNTRY","INDICATOR","UNIT","FREQUENCY","TIME_PERIOD","OBS_VALUE"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1984","-80058964679.00368"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1985","-104676822135.5861"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1986","-116596342162.6963"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1987","-167801171478.1585"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1988","-138263818503.5834"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1989","-47395069359.33158"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1990","-57989200015.08837"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1991","-43801650489.58005"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1992","-93957313262.785"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1993","-79255776859.08959"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1994","-124251769201.128"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1995","-82814531742.01088"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1996","-134506425268.4148"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1997","-218935893544.6741"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1998","-67005746518.75007"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","1999","-238581992890.2681"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2000","-478389144339.9794"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2001","-402016267088.0677"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2002","-502656613479.4694"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2003","-540561353304.3771"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2004","-542219971086.8693"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2005","-714051605634.4231"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2006","-825582315217.2856"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2007","-632834931675.1203"
"United States","Financial account balance (assets less liabilities), Adjusted using IMF accounting records","US dollar","Annual","2008","-747066021761.9198"
