observation_date,IRLTLT01FRA156N
1960-01-01,5.663333333333329556
1961-01-01,5.519166666666670551
1962-01-01,5.434166666666670586
1963-01-01,5.338333333333329378
1964-01-01,5.449166666666670267
1965-01-01,6.202499999999999680
1966-01-01,6.579166666666670160
1967-01-01,6.706666666666670551
1968-01-01,6.950833333333329200
1969-01-01,8.177500000000000213
1970-01-01,8.550833333333340391
1971-01-01,8.421666666666670409
1972-01-01,8.013333333333338970
1973-01-01,8.998333333333329520
1974-01-01,11.002499999999999503
1975-01-01,10.311666666666699399
1976-01-01,10.509999999999999787
1977-01-01,10.991666666666699115
1978-01-01,10.611666666666700110
1979-01-01,10.847500000000000142
1980-01-01,13.784166666666697765
1981-01-01,16.291666666666699825
1982-01-01,15.997500000000000497
1983-01-01,14.368333333333302093
1984-01-01,13.404166666666700536
1985-01-01,11.866666666666699115
1986-01-01,9.119166666666670196
1987-01-01,9.474166666666668846
1988-01-01,9.085833333333331652
1989-01-01,8.781666666666666288
1990-01-01,9.916666666666666075
1991-01-01,9.038333333333330444
1992-01-01,8.585000000000000853
1993-01-01,6.792500000000000426
1994-01-01,7.224166666666665293
1995-01-01,7.534166666666668455
1996-01-01,6.334166666666666501
1997-01-01,5.585833333333332540
1998-01-01,4.647500000000000853
1999-01-01,4.619166666666667531
2000-01-01,5.394166666666667886
2001-01-01,4.939166666666666039
2002-01-01,4.860000000000000320
2003-01-01,4.129999999999999893
2004-01-01,4.098333333333334494
2005-01-01,3.410000000000000142
2006-01-01,3.796666666666667300
2007-01-01,4.304166666666665364
2008-01-01,4.234166666666665968
2009-01-01,3.649999999999999911
2010-01-01,3.118333333333333623
2011-01-01,3.319999999999999396
2012-01-01,2.536666666666667069
2013-01-01,2.204166666666667052
2014-01-01,1.666666666666666963
2015-01-01,0.842500000000000138
2016-01-01,0.466666666666666619
2017-01-01,0.809166666666666701
2018-01-01,0.783333333333333326
2019-01-01,0.130833333333333302
2020-01-01,-0.144999999999999990
2021-01-01,0.006666666666666600
2022-01-01,1.700833333333333419
2023-01-01,2.994166666666666199
2024-01-01,2.969166666666666732
