observation_date,IRLTLT01RUA156N
1999-01-01,87.375833333333290
2000-01-01,35.163333333333298
2001-01-01,19.383333333333301
2002-01-01,15.824166666666700
2003-01-01,9.115000000000000
2004-01-01,8.289166666666670
2005-01-01,8.107500000000000
2006-01-01,6.976666666666670
2007-01-01,6.717500000000000
2008-01-01,7.523333333333330
2009-01-01,9.874166666666660
2010-01-01,7.831666666666670
2011-01-01,8.060833333333330
2012-01-01,8.154166666666660
2013-01-01,7.330833333333340
2014-01-01,8.464166666666660
2015-01-01,10.886666666666700
2016-01-01,10.438333333333301
2017-01-01,8.992500000000000
